State,Week,Forecasted_Sales
Nebraska,Week 5,63124730.0
Nebraska,Week 6,63163612.0
Nebraska,Week 7,63151436.0
Nebraska,Week 8,63063868.0
Nevada,Week 1,103413910.0
Nevada,Week 2,103964330.0
Nevada,Week 3,104469440.0
Nevada,Week 4,104891176.0
Nevada,Week 5,105270540.0
Nevada,Week 6,105592910.0
Nevada,Week 7,105823620.0
Nevada,Week 8,105963340.0
New Hampshire,Week 1,55825108.0
New Hampshire,Week 2,56085070.0
New Hampshire,Week 3,56264444.0
New Hampshire,Week 4,56420896.0
New Hampshire,Week 5,56559310.0
New Hampshire,Week 6,56681164.0
New Hampshire,Week 7,56791492.0
New Hampshire,Week 8,56886524.0
New Mexico,Week 1,75246680.0
New Mexico,Week 2,75771050.0
New Mexico,Week 3,76304910.0
New Mexico,Week 4,76812190.0
New Mexico,Week 5,77304776.0
New Mexico,Week 6,77787040.0
New Mexico,Week 7,78263770.0
New Mexico,Week 8,78711550.0
New York,Week 1,439991400.0
New York,Week 2,442230750.0
New York,Week 3,444322370.0
New York,Week 4,446395070.0
New York,Week 5,448433470.0
New York,Week 6,450463330.0
New York,Week 7,452528300.0
New York,Week 8,454537950.0
North Carolina,Week 1,366081060.0
North Carolina,Week 2,367842020.0
North Carolina,Week 3,369349100.0
North Carolina,Week 4,370884480.0
North Carolina,Week 5,372278240.0
North Carolina,Week 6,373536770.0
North Carolina,Week 7,374718750.0
North Carolina,Week 8,375698370.0
Ohio,Week 1,376754400.0
Ohio,Week 2,378095300.0
Ohio,Week 3,379417280.0
Ohio,Week 4,380638180.0
Ohio,Week 5,381891780.0
Ohio,Week 6,383156900.0
Ohio,Week 7,384336350.0
Ohio,Week 8,385362720.0
Oklahoma,Week 1,146014110.0
Oklahoma,Week 2,146562320.0
Oklahoma,Week 3,147063420.0
Oklahoma,Week 4,147494770.0
Oklahoma,Week 5,147882240.0
Oklahoma,Week 6,148243180.0
Oklahoma,Week 7,148583620.0
Oklahoma,Week 8,148908370.0
Oregon,Week 1,116502904.0
Oregon,Week 2,117055170.0
Oregon,Week 3,117515030.0
Oregon,Week 4,117839890.0
Oregon,Week 5,118050780.0
Oregon,Week 6,118145020.0
Oregon,Week 7,118150880.0
Oregon,Week 8,118085240.0
Pennsylvania,Week 1,360679780.0
Pennsylvania,Week 2,362081000.0
Pennsylvania,Week 3,363126080.0
Pennsylvania,Week 4,363921250.0
Pennsylvania,Week 5,364537540.0
Pennsylvania,Week 6,364967420.0
Pennsylvania,Week 7,365194340.0
Pennsylvania,Week 8,365285060.0
Rhode Island,Week 1,26765882.0
Rhode Island,Week 2,26841612.0
Rhode Island,Week 3,26929184.0
Rhode Island,Week 4,27008994.0
Rhode Island,Week 5,27082272.0
Rhode Island,Week 6,27144968.0
Rhode Island,Week 7,27199848.0
Rhode Island,Week 8,27245372.0
South Carolina,Week 1,198971790.0
South Carolina,Week 2,199347680.0
South Carolina,Week 3,199848200.0
South Carolina,Week 4,200228960.0
South Carolina,Week 5,200536940.0
South Carolina,Week 6,200777940.0
South Carolina,Week 7,200979840.0
South Carolina,Week 8,201106450.0
South Dakota,Week 1,29291008.0
South Dakota,Week 2,29472402.0
South Dakota,Week 3,29602356.0
South Dakota,Week 4,29716098.0
South Dakota,Week 5,29814978.0
South Dakota,Week 6,29903508.0
South Dakota,Week 7,29982470.0
South Dakota,Week 8,30053456.0
Tennessee,Week 1,263654370.0
Tennessee,Week 2,264705630.0
Tennessee,Week 3,265505060.0
Tennessee,Week 4,266174400.0
Tennessee,Week 5,266785140.0
Tennessee,Week 6,267265520.0
Tennessee,Week 7,267649090.0
Tennessee,Week 8,267902910.0
Texas,Week 1,917522800.0
Texas,Week 2,920896700.0
Texas,Week 3,924442940.0
Texas,Week 4,927757250.0
Texas,Week 5,930827970.0
Texas,Week 6,933677000.0
Texas,Week 7,936317060.0
Texas,Week 8,938551300.0
Utah,Week 1,86025180.0
Utah,Week 2,86551070.0
Utah,Week 3,87044150.0
Utah,Week 4,87511080.0
Utah,Week 5,87965090.0
Utah,Week 6,88415460.0
Utah,Week 7,88868344.0
Utah,Week 8,89301370.0
Vermont,Week 1,18123012.0
Vermont,Week 2,18133772.0
Vermont,Week 3,18144668.0
Vermont,Week 4,18151412.0
Vermont,Week 5,18156202.0
Vermont,Week 6,18157792.0
Vermont,Week 7,18157380.0
Vermont,Week 8,18155768.0
Virginia,Week 1,298586780.0
Virginia,Week 2,300022700.0
Virginia,Week 3,301380480.0
Virginia,Week 4,302704100.0
Virginia,Week 5,303995600.0
Virginia,Week 6,305239600.0
Virginia,Week 7,306448580.0
Virginia,Week 8,307622820.0
Washington,Week 1,191354180.0
Washington,Week 2,192004140.0
Washington,Week 3,192762990.0
Washington,Week 4,193498910.0
Washington,Week 5,194213200.0
Washington,Week 6,194918060.0
Washington,Week 7,195609520.0
Washington,Week 8,196276320.0
West Virginia,Week 1,75643650.0
West Virginia,Week 2,75960184.0
West Virginia,Week 3,76258190.0
West Virginia,Week 4,76544000.0
West Virginia,Week 5,76824320.0
West Virginia,Week 6,77104190.0
West Virginia,Week 7,77385600.0
West Virginia,Week 8,77671190.0
Wisconsin,Week 1,160286990.0
Wisconsin,Week 2,160717460.0
Wisconsin,Week 3,161273090.0
Wisconsin,Week 4,161809170.0
Wisconsin,Week 5,162326020.0
Wisconsin,Week 6,162823570.0
Wisconsin,Week 7,163294640.0
Wisconsin,Week 8,163741150.0
Wyoming,Week 1,22105936.0
Wyoming,Week 2,22223060.0
Wyoming,Week 3,22339962.0
Wyoming,Week 4,22444164.0
Wyoming,Week 5,22537318.0
Wyoming,Week 6,22615774.0
Wyoming,Week 7,22680000.0
Wyoming,Week 8,22725202.0
